,LOCATION,TIME,CO2,CO,GHG,NOx,SOx,PM25,Gross_increase,Use_intensity
35,DEU,2019,645.403512,33.13,9.625,13.304,3.123,11.92769,110380.77,0.909
36,IRL,2011,35.521783,43.341,12.622,23.382,5.37,10.05576,,
37,IRL,2012,35.832506,41.72,12.793,23.806,5.066,9.14468,7685.0,0.406
38,IRL,2013,34.576212,41.31,12.688,24.034,5.044,8.78012,7685.0,0.435
39,IRL,2014,34.095472,38.063,12.487,23.601,3.716,8.51283,7685.0,0.446
40,IRL,2015,35.435234,37.903,12.901,23.951,3.377,8.37593,7685.0,0.465
41,IRL,2016,37.215805,36.776,13.232,23.666,3.204,7.83292,7685.0,0.48
42,IRL,2017,35.889055,31.013,12.951,22.865,3.012,7.65697,8532.0,0.457
43,IRL,2018,35.55762,29.714,12.838,22.631,2.797,7.91037,8532.0,0.475
44,IRL,2019,33.919176,25.469,12.162,20.651,2.193,7.84751,8532.0,0.513
45,ITA,2011,384.107414,40.525,8.415,15.036,3.327,21.19496,,
46,ITA,2012,366.677218,44.804,8.072,14.164,2.983,18.63516,,
47,ITA,2013,337.575729,41.481,7.468,12.947,2.463,17.91081,,
48,ITA,2014,319.155267,37.394,7.118,12.557,2.187,16.90861,,
49,ITA,2015,329.662166,37.628,7.335,11.942,2.091,17.81045,38371.0,
50,ITA,2016,325.657076,36.45,7.307,11.714,1.997,15.5574,,
51,ITA,2017,321.481224,37.626,7.224,11.026,1.945,15.87492,,
52,ITA,2018,317.125522,34.224,7.175,11.057,1.825,16.03252,,
53,ITA,2019,309.30931,34.492,7.004,10.756,1.753,15.84764,,
54,POL,2011,303.187965,79.759,10.69,21.211,20.973,27.15801,,
55,POL,2012,296.941257,80.3,10.491,20.245,20.208,24.68245,,
56,POL,2013,292.406685,77.395,10.392,19.232,19.227,23.7758,,
57,POL,2014,279.258514,70.67,10.062,17.909,17.993,24.01657,,
58,POL,2015,282.70799,69.259,10.12,17.409,17.463,22.86504,,
59,POL,2016,293.210908,72.254,10.411,17.554,14.766,21.91566,,
60,POL,2017,305.730218,71.077,10.785,18.288,14.553,22.88956,,
61,POL,2018,304.040416,66.827,10.755,17.501,13.725,22.86464,,
62,POL,2019,287.196774,58.682,10.174,16.324,11.582,22.76563,,
63,PRT,2011,47.054931,34.689,6.369,17.543,5.395,10.45012,,
64,PRT,2012,45.670308,33.519,6.212,16.318,4.966,9.1396,,
65,PRT,2013,43.741204,31.746,6.067,16.038,4.587,8.82785,,
66,PRT,2014,42.835055,30.192,6.094,15.859,4.171,8.65788,,
67,PRT,2015,46.930899,31.04,6.52,16.188,4.407,8.80415,,
68,PRT,2016,46.398215,29.801,6.362,15.561,4.416,7.82794,,
69,PRT,2017,50.741653,31.412,6.87,15.876,4.581,8.39613,,
70,PRT,2018,47.210184,27.391,6.524,15.311,4.38,8.21557,,
71,PRT,2019,42.339682,28.275,6.17,14.702,4.286,8.1761,,
72,ESP,2011,265.94709,40.527,7.657,20.413,6.021,12.74152,,
73,ESP,2012,261.526404,33.994,7.498,19.337,6.086,11.46312,,
74,ESP,2013,236.152943,40.774,6.95,17.868,4.754,10.62795,,
75,ESP,2014,233.08286,35.358,7.015,17.802,5.215,10.09,,
76,ESP,2015,248.035194,38.464,7.27,18.301,5.6,10.81943,,
77,ESP,2016,238.838137,35.265,7.01,17.413,4.662,9.82015,,
78,ESP,2017,255.274706,35.122,7.282,17.456,4.728,10.02245,,
79,ESP,2018,248.706185,39.56,7.132,17.125,4.25,10.03337,,
80,ESP,2019,232.822451,33.768,6.662,15.786,3.206,9.99323,,
81,GBR,2011,439.235531,27.51,8.916,18.636,6.744,12.95079,,
82,GBR,2012,461.492965,26.486,9.113,18.823,7.233,11.38851,,
83,GBR,2013,447.019328,26.112,8.845,17.655,6.203,11.36731,,
84,GBR,2014,408.67235,24.753,8.157,16.325,5.009,10.82781,,
85,GBR,2015,394.018994,23.747,7.822,15.628,4.007,10.32277,21488.0,0.629
86,GBR,2016,374.900339,21.515,7.376,14.122,2.902,10.15293,,
87,GBR,2017,359.712378,21.337,7.164,13.508,2.817,10.28748,,
88,GBR,2018,353.752397,21.07,6.989,12.806,2.601,10.10409,,
89,GBR,2019,339.248383,20.242,6.713,11.884,2.327,10.02183,,
